question_id,supported,error
0,True,
1,True,
2,True,
3,True,
6,True,
7,True,
8,True,
11,True,
12,True,
13,True,
14,True,
15,True,
19,True,
20,True,
21,True,
29,True,
32,True,
34,True,
35,True,
36,True,
38,True,
39,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
40,True,
42,True,
43,True,
44,True,
45,True,
46,True,
47,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
48,True,
51,True,
52,True,
55,True,
57,True,
58,True,
59,True,
60,True,
61,True,
63,True,
64,True,
66,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
68,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
69,True,
73,True,
75,True,
76,True,
78,True,
79,True,
80,True,
81,True,
88,True,
89,True,
92,True,
93,True,
95,True,
96,True,
98,False,AttributeError: 'ArithRef' object has no attribute 'year'
99,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
100,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
101,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
103,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
104,True,
105,True,
106,True,
108,True,
111,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
112,True,
113,True,
114,True,
115,False,"KeyError: ('visitors.visitor.Visitor', <class 'NoneType'>)"
117,True,
118,True,
119,False,AttributeError: 'ArithRef' object has no attribute 'year'
120,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
121,True,
122,True,
123,True,
124,True,
127,True,
132,True,
134,True,
136,True,
137,True,
138,True,
140,True,
146,True,
147,True,
148,True,
151,True,
153,True,
154,True,
156,True,
157,True,
158,False,ParserSyntaxError: ParserSyntaxError: cannot parse `SELECT T2.DISTRICT_ID FROM ORDER AS T1 INNER JOIN ACCOUNT AS T2 ON T1.ACCOUNT_ID = T2.ACCOUNT_ID WHERE T1.ORDER_ID = 33333`
160,True,
161,True,
162,True,
163,True,
164,False,ParserSyntaxError: ParserSyntaxError: cannot parse `SELECT T2.CLIENT_ID FROM ORDER AS T1 INNER JOIN DISP AS T2 ON T1.ACCOUNT_ID = T2.ACCOUNT_ID WHERE T1.ORDER_ID = 32423`
166,True,
167,True,
170,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
171,True,
174,False,"ValueError: STRFTIME only accepts DATE and String, but yours is <class 'z3.z3.ArithRef'>. Please set `encode_date = True`."
175,True,
176,True,
178,True,
179,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
181,True,
183,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
184,True,
188,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
190,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
191,True,
192,True,
195,True,
196,True,
199,True,
200,True,
202,True,
203,True,
204,True,
206,True,
208,True,
210,True,
212,True,
213,True,
214,True,
216,True,
222,True,
224,True,
229,True,
230,True,
232,True,
233,True,
235,True,
236,True,
238,True,
240,True,
241,True,
242,False,Z3Exception: Non-sequence passed as a sequence
244,True,
245,True,
246,False,Z3Exception: Non-sequence passed as a sequence
249,True,
250,True,
253,True,
256,True,
257,True,
258,True,
260,True,
261,True,
262,True,
265,True,
266,True,
268,True,
270,True,
272,True,
273,True,
274,True,
275,True,
276,True,
279,True,
280,True,
283,True,
285,True,
287,True,
288,True,
290,True,
291,True,
293,True,
294,True,
297,True,
301,True,
302,True,
303,True,
304,True,
305,True,
306,True,
307,True,
308,True,
310,True,
312,True,
314,True,
315,True,
316,True,
318,True,
319,True,
320,True,
321,True,
322,True,
324,True,
325,True,
327,True,
329,True,
331,True,
333,True,
334,True,
336,True,
339,True,
345,True,
346,True,
348,True,
350,True,
351,True,
352,True,
353,True,
355,True,
356,True,
358,True,
362,True,
364,True,
365,True,
366,True,
367,True,
368,True,
369,True,
370,True,
371,True,
372,True,
373,True,
374,True,
375,True,
376,True,
377,True,
378,True,
379,True,
380,True,
381,True,
383,True,
384,True,
385,True,
390,True,
395,True,
396,True,
400,True,
404,True,
405,True,
412,True,
414,True,
415,True,
418,True,
419,True,
420,True,
421,False,"AssertionError: VeriEQL only supports 4 like-cases: 'ABC', 'ABC%', '%ABC', 'ABC%DEF', but yours is %*%"
422,True,
423,True,
426,True,
427,True,
430,True,
434,True,
439,True,
440,True,
452,True,
455,True,
456,True,
457,True,
459,True,
460,True,
461,True,
462,True,
464,True,
466,True,
467,True,
468,True,
470,True,
471,True,
475,True,
